isoformUpregulated	isoformDownregulated	gene_id	gene_name	condition_1	condition_2
uc001ary.1	uc001arz.1	chr1:11114649..11120091,-	SRM	KIRP_ctrl	KIRP_cancer
uc001asc.2	uc001asd.2	chr1:11166589..11322608,-	MTOR	THCA_ctrl	THCA_cancer
uc001asc.2	uc001asd.2	chr1:11166589..11322608,-	MTOR	THCA_ctrl	THCA_cancer
uc009wfz.1	uc001eai.1	chr1:111682249..111727724,+	CEPT1	KICH_ctrl	KICH_cancer
uc009wfz.1	uc001eai.1	chr1:111682249..111727724,+	CEPT1	KICH_ctrl	KICH_cancer
uc009wfz.1	uc001eai.1	chr1:111682249..111727724,+	CEPT1	KICH_ctrl	KICH_cancer
uc009wfz.1	uc001eai.1	chr1:111682249..111727724,+	CEPT1	KIRP_ctrl	KIRP_cancer
uc009wfz.1	uc001eai.1	chr1:111682249..111727724,+	CEPT1	KIRP_ctrl	KIRP_cancer
uc009wfz.1	uc001eai.1	chr1:111682249..111727724,+	CEPT1	KIRP_ctrl	KIRP_cancer
uc009wfz.1	uc001eai.1	chr1:111682249..111727724,+	CEPT1	STAD_ctrl	STAD_cancer
uc009wfz.1	uc001eai.1	chr1:111682249..111727724,+	CEPT1	STAD_ctrl	STAD_cancer
uc009wfz.1	uc001eai.1	chr1:111682249..111727724,+	CEPT1	STAD_ctrl	STAD_cancer
uc001ean.2	uc001eam.2	chr1:111770281..111786060,+	CHI3L2	BRCA_ctrl	BRCA_cancer
uc001ean.2	uc001eam.2	chr1:111770281..111786060,+	CHI3L2	LUAD_ctrl	LUAD_cancer
uc001eao.2	uc001eam.2	chr1:111770281..111786060,+	CHI3L2	LUAD_ctrl	LUAD_cancer
uc001eao.2	uc001eam.2	chr1:111770281..111786060,+	CHI3L2	LUAD_ctrl	LUAD_cancer
uc001ean.2	uc001eam.2	chr1:111770281..111786060,+	CHI3L2	LUSC_ctrl	LUSC_cancer
uc001eao.2	uc001eam.2	chr1:111770281..111786060,+	CHI3L2	LUSC_ctrl	LUSC_cancer
uc001eao.2	uc001eam.2	chr1:111770281..111786060,+	CHI3L2	LUSC_ctrl	LUSC_cancer
uc001ebg.3	uc001ebh.3	chr1:112025971..112106597,-	ADORA3	LUAD_ctrl	LUAD_cancer
uc001ebg.3	uc001ebh.3	chr1:112025971..112106597,-	ADORA3	LUAD_ctrl	LUAD_cancer
uc001ebg.3	uc001ebh.3	chr1:112025971..112106597,-	ADORA3	LUSC_ctrl	LUSC_cancer
uc001ebg.3	uc001ebh.3	chr1:112025971..112106597,-	ADORA3	LUSC_ctrl	LUSC_cancer
uc001adc.2	uc001ada.2	chr1:1138889..1142089,-	TNFRSF18	LUSC_ctrl	LUSC_cancer
uc001adc.2	uc001ada.2	chr1:1138889..1142089,-	TNFRSF18	LUSC_ctrl	LUSC_cancer
uc009wgo.2	uc001edk.2	chr1:113933475..114228535,+	MAGI3	KIRC_ctrl	KIRC_cancer
uc009wgo.2	uc001edk.2	chr1:113933475..114228535,+	MAGI3	KIRC_ctrl	KIRC_cancer
uc009wgo.2	uc001edk.2	chr1:113933475..114228535,+	MAGI3	THCA_ctrl	THCA_cancer
uc009wgo.2	uc001edk.2	chr1:113933475..114228535,+	MAGI3	THCA_ctrl	THCA_cancer
uc001eeq.2	uc001een.2	chr1:114471996..114520421,+	HIPK1	THCA_ctrl	THCA_cancer
uc001eeq.2	uc001een.2	chr1:114471996..114520421,+	HIPK1	THCA_ctrl	THCA_cancer
uc010owr.1	uc001eex.2	chr1:114935401..115053781,-	TRIM33	KICH_ctrl	KICH_cancer
uc010owr.1	uc001eex.2	chr1:114935401..115053781,-	TRIM33	KICH_ctrl	KICH_cancer
uc001efh.3	uc009wgu.2	chr1:115247079..115259515,-	NRAS	THCA_ctrl	THCA_cancer
uc001efh.3	uc009wgu.2	chr1:115247079..115259515,-	NRAS	THCA_ctrl	THCA_cancer
uc001asn.2	uc001asm.2	chr1:11714432..11723383,+	FBXO44	LUSC_ctrl	LUSC_cancer
uc001ehn.2	uc010oxf.1	chr1:119573841..119683295,-	WARS2	LUAD_ctrl	LUAD_cancer
uc001ehn.2	uc010oxf.1	chr1:119573841..119683295,-	WARS2	PRAD_ctrl	PRAD_cancer
uc010oxj.1	uc001eid.2	chr1:120291005..120311518,-	HMGCS2	BRCA_ctrl	BRCA_cancer
uc001eie.2	uc001eid.2	chr1:120291005..120311518,-	HMGCS2	KIRP_ctrl	KIRP_cancer
uc001atu.2	uc001att.2	chr1:12227060..12269276,+	TNFRSF1B	BRCA_ctrl	BRCA_cancer
uc001atu.2	uc001att.2	chr1:12227060..12269276,+	TNFRSF1B	BRCA_ctrl	BRCA_cancer
uc001atu.2	uc001att.2	chr1:12227060..12269276,+	TNFRSF1B	BRCA_ctrl	BRCA_cancer
uc001atu.2	uc001att.2	chr1:12227060..12269276,+	TNFRSF1B	COAD_ctrl	COAD_cancer
uc001atu.2	uc001att.2	chr1:12227060..12269276,+	TNFRSF1B	COAD_ctrl	COAD_cancer
uc001atu.2	uc001att.2	chr1:12227060..12269276,+	TNFRSF1B	COAD_ctrl	COAD_cancer
uc001atu.2	uc001att.2	chr1:12227060..12269276,+	TNFRSF1B	KICH_ctrl	KICH_cancer
uc001atu.2	uc001att.2	chr1:12227060..12269276,+	TNFRSF1B	KICH_ctrl	KICH_cancer
uc001atu.2	uc001att.2	chr1:12227060..12269276,+	TNFRSF1B	KICH_ctrl	KICH_cancer
uc001atu.2	uc001att.2	chr1:12227060..12269276,+	TNFRSF1B	KIRP_ctrl	KIRP_cancer
uc001atu.2	uc001att.2	chr1:12227060..12269276,+	TNFRSF1B	KIRP_ctrl	KIRP_cancer
uc001atu.2	uc001att.2	chr1:12227060..12269276,+	TNFRSF1B	KIRP_ctrl	KIRP_cancer
uc009vnk.2	uc001att.2	chr1:12227060..12269276,+	TNFRSF1B	KIRP_ctrl	KIRP_cancer
uc009vnk.2	uc001att.2	chr1:12227060..12269276,+	TNFRSF1B	KIRP_ctrl	KIRP_cancer
uc009vnk.2	uc001att.2	chr1:12227060..12269276,+	TNFRSF1B	KIRP_ctrl	KIRP_cancer
uc001atu.2	uc001att.2	chr1:12227060..12269276,+	TNFRSF1B	LUSC_ctrl	LUSC_cancer
uc001atu.2	uc001att.2	chr1:12227060..12269276,+	TNFRSF1B	LUSC_ctrl	LUSC_cancer
uc001atu.2	uc001att.2	chr1:12227060..12269276,+	TNFRSF1B	LUSC_ctrl	LUSC_cancer
uc001aub.2	uc001auc.2	chr1:12627940..12677820,-	DHRS3	KIRP_ctrl	KIRP_cancer
uc002quu.2	uc001aer.3	chr1:1270659..1284492,-	DVL1	BRCA_ctrl	BRCA_cancer
uc002quu.2	uc001aer.3	chr1:1270659..1284492,-	DVL1	BRCA_ctrl	BRCA_cancer
uc002quu.2	uc001aer.3	chr1:1270659..1284492,-	DVL1	LUAD_ctrl	LUAD_cancer
uc002quu.2	uc001aer.3	chr1:1270659..1284492,-	DVL1	LUAD_ctrl	LUAD_cancer
uc001aez.2	uc001aew.2	chr1:1288072..1297157,-	MXRA8	KICH_ctrl	KICH_cancer
uc001aez.2	uc001aew.2	chr1:1288072..1297157,-	MXRA8	KICH_ctrl	KICH_cancer
uc001aff.1	uc001afh.2	chr1:1321091..1334718,-	CCNL2	KIRC_ctrl	KIRC_cancer
uc001aff.1	uc001afh.2	chr1:1321091..1334718,-	CCNL2	KIRC_ctrl	KIRC_cancer
uc001aff.1	uc001afh.2	chr1:1321091..1334718,-	CCNL2	KIRC_ctrl	KIRC_cancer
uc001aff.1	uc001afi.2	chr1:1321091..1334718,-	CCNL2	KIRC_ctrl	KIRC_cancer
uc001aff.1	uc001afi.2	chr1:1321091..1334718,-	CCNL2	KIRC_ctrl	KIRC_cancer
uc001aff.1	uc001afi.2	chr1:1321091..1334718,-	CCNL2	KIRC_ctrl	KIRC_cancer
uc001afk.2	uc001afi.2	chr1:1321091..1334718,-	CCNL2	KIRC_ctrl	KIRC_cancer
uc001afk.2	uc001afi.2	chr1:1321091..1334718,-	CCNL2	KIRC_ctrl	KIRC_cancer
uc001afk.2	uc001afi.2	chr1:1321091..1334718,-	CCNL2	KIRC_ctrl	KIRC_cancer
uc001afp.2	uc001afq.2	chr1:1353802..1356650,-	LOC441869	BRCA_ctrl	BRCA_cancer
uc001afp.2	uc001afq.2	chr1:1353802..1356650,-	LOC441869	BRCA_ctrl	BRCA_cancer
uc001afp.2	uc001afq.2	chr1:1353802..1356650,-	LOC441869	KIRP_ctrl	KIRP_cancer
uc001afp.2	uc001afq.2	chr1:1353802..1356650,-	LOC441869	KIRP_ctrl	KIRP_cancer
uc001afp.2	uc001afq.2	chr1:1353802..1356650,-	LOC441869	THCA_ctrl	THCA_cancer
uc001afp.2	uc001afq.2	chr1:1353802..1356650,-	LOC441869	THCA_ctrl	THCA_cancer
uc009voe.2	uc001avk.2	chr1:14026735..14151572,+	PRDM2	KICH_ctrl	KICH_cancer
uc009voe.2	uc001avk.2	chr1:14026735..14151572,+	PRDM2	KICH_ctrl	KICH_cancer
uc009voe.2	uc001avk.2	chr1:14026735..14151572,+	PRDM2	KICH_ctrl	KICH_cancer
uc009voe.2	uc001avk.2	chr1:14026735..14151572,+	PRDM2	KIRC_ctrl	KIRC_cancer
uc009voe.2	uc001avk.2	chr1:14026735..14151572,+	PRDM2	KIRC_ctrl	KIRC_cancer
uc009voe.2	uc001avk.2	chr1:14026735..14151572,+	PRDM2	KIRC_ctrl	KIRC_cancer
uc001avj.2	uc001avk.2	chr1:14026735..14151572,+	PRDM2	THCA_ctrl	THCA_cancer
uc001avj.2	uc001avk.2	chr1:14026735..14151572,+	PRDM2	THCA_ctrl	THCA_cancer
uc001avj.2	uc001avk.2	chr1:14026735..14151572,+	PRDM2	THCA_ctrl	THCA_cancer
uc001ekr.3	uc001ekt.3	chr1:144300514..144340773,-	LOC728855	COAD_ctrl	COAD_cancer
uc001emf.1	uc001eln.3	chr1:144676873..145076079,-	PDE4DIP	LUAD_ctrl	LUAD_cancer
uc001emf.1	uc001eln.3	chr1:144676873..145076079,-	PDE4DIP	LUAD_ctrl	LUAD_cancer
uc001emf.1	uc001eln.3	chr1:144676873..145076079,-	PDE4DIP	STAD_ctrl	STAD_cancer
uc001emf.1	uc001eln.3	chr1:144676873..145076079,-	PDE4DIP	STAD_ctrl	STAD_cancer
uc001agb.1	uc001aga.1	chr1:1447555..1470064,+	ATAD3A	KIRC_ctrl	KIRC_cancer
uc001enm.1	uc001enn.3	chr1:145438462..145442626,+	TXNIP	KICH_ctrl	KICH_cancer
uc001enm.1	uc001enn.3	chr1:145438462..145442626,+	TXNIP	KICH_ctrl	KICH_cancer
uc001enm.1	uc001enn.3	chr1:145438462..145442626,+	TXNIP	KICH_ctrl	KICH_cancer
uc001enm.1	uc001enn.3	chr1:145438462..145442626,+	TXNIP	KIRC_ctrl	KIRC_cancer
uc001enm.1	uc001enn.3	chr1:145438462..145442626,+	TXNIP	KIRC_ctrl	KIRC_cancer
uc001enm.1	uc001enn.3	chr1:145438462..145442626,+	TXNIP	KIRC_ctrl	KIRC_cancer
uc001enm.1	uc001enn.3	chr1:145438462..145442626,+	TXNIP	KIRP_ctrl	KIRP_cancer
uc001enm.1	uc001enn.3	chr1:145438462..145442626,+	TXNIP	KIRP_ctrl	KIRP_cancer
uc001enm.1	uc001enn.3	chr1:145438462..145442626,+	TXNIP	KIRP_ctrl	KIRP_cancer
uc001enm.1	uc001enn.3	chr1:145438462..145442626,+	TXNIP	THCA_ctrl	THCA_cancer
uc001enm.1	uc001enn.3	chr1:145438462..145442626,+	TXNIP	THCA_ctrl	THCA_cancer
uc001enm.1	uc001enn.3	chr1:145438462..145442626,+	TXNIP	THCA_ctrl	THCA_cancer
uc001eoj.2	uc001eok.2	chr1:145611036..145688774,+	RNF115	LIHC_ctrl	LIHC_cancer
uc001eoj.2	uc001eok.2	chr1:145611036..145688774,+	RNF115	LIHC_ctrl	LIHC_cancer
uc010ozn.1	uc010ozm.1	chr1:146626687..146644129,-	PRKAB2	KICH_ctrl	KICH_cancer
uc010ozn.1	uc010ozm.1	chr1:146626687..146644129,-	PRKAB2	KICH_ctrl	KICH_cancer
uc010ozn.1	uc010ozm.1	chr1:146626687..146644129,-	PRKAB2	KICH_ctrl	KICH_cancer
uc009wji.2	uc001epm.3	chr1:146714291..146767441,+	CHD1L	KIRC_ctrl	KIRC_cancer
uc009wji.2	uc001epm.3	chr1:146714291..146767441,+	CHD1L	KIRC_ctrl	KIRC_cancer
uc009wji.2	uc001epm.3	chr1:146714291..146767441,+	CHD1L	KIRP_ctrl	KIRP_cancer
uc009wji.2	uc001epm.3	chr1:146714291..146767441,+	CHD1L	KIRP_ctrl	KIRP_cancer
uc009wji.2	uc001epm.3	chr1:146714291..146767441,+	CHD1L	STAD_ctrl	STAD_cancer
uc009wji.2	uc001epm.3	chr1:146714291..146767441,+	CHD1L	STAD_ctrl	STAD_cancer
uc001avr.2	uc001avq.2	chr1:14925213..15444543,+	KAZ	LUAD_ctrl	LUAD_cancer
uc001avr.2	uc001avq.2	chr1:14925213..15444543,+	KAZ	LUSC_ctrl	LUSC_cancer
uc009wlk.2	uc001etg.2	chr1:149874876..149889434,-	SV2A	THCA_ctrl	THCA_cancer
uc009wlk.2	uc001etg.2	chr1:149874876..149889434,-	SV2A	THCA_ctrl	THCA_cancer
uc001etq.2	uc001etp.2	chr1:150039342..150117504,+	VPS45	KICH_ctrl	KICH_cancer
uc001etq.2	uc001etp.2	chr1:150039342..150117504,+	VPS45	KICH_ctrl	KICH_cancer
uc001etq.2	uc001etp.2	chr1:150039342..150117504,+	VPS45	KIRP_ctrl	KIRP_cancer
uc001etq.2	uc001etp.2	chr1:150039342..150117504,+	VPS45	KIRP_ctrl	KIRP_cancer
uc001etq.2	uc001etp.2	chr1:150039342..150117504,+	VPS45	STAD_ctrl	STAD_cancer
uc001etq.2	uc001etp.2	chr1:150039342..150117504,+	VPS45	STAD_ctrl	STAD_cancer
uc010pby.1	uc001etz.1	chr1:150237799..150241532,-	APH1A	LUSC_ctrl	LUSC_cancer
uc010pby.1	uc001etz.1	chr1:150237799..150241532,-	APH1A	LUSC_ctrl	LUSC_cancer
uc001eum.3	uc010pca.1	chr1:150293928..150325703,+	PRPF3	LIHC_ctrl	LIHC_cancer
uc001euq.2	uc001eur.2	chr1:150459920..150479747,+	TARS2	KICH_ctrl	KICH_cancer
uc001euq.2	uc001eur.2	chr1:150459920..150479747,+	TARS2	LUSC_ctrl	LUSC_cancer
uc001eus.2	uc001eut.2	chr1:150480487..150486264,+	ECM1	HNSC_ctrl	HNSC_cancer
uc001eus.2	uc001eut.2	chr1:150480487..150486264,+	ECM1	HNSC_ctrl	HNSC_cancer
uc009wlx.2	uc001eux.2	chr1:150521898..150533410,+	ADAMTSL4	COAD_ctrl	COAD_cancer
uc009wlx.2	uc001eux.2	chr1:150521898..150533410,+	ADAMTSL4	COAD_ctrl	COAD_cancer
uc009wlx.2	uc001eux.2	chr1:150521898..150533410,+	ADAMTSL4	COAD_ctrl	COAD_cancer
uc009wlx.2	uc001eux.2	chr1:150521898..150533410,+	ADAMTSL4	STAD_ctrl	STAD_cancer
uc009wlx.2	uc001eux.2	chr1:150521898..150533410,+	ADAMTSL4	STAD_ctrl	STAD_cancer
uc009wlx.2	uc001eux.2	chr1:150521898..150533410,+	ADAMTSL4	STAD_ctrl	STAD_cancer
uc010pck.1	uc001evr.1	chr1:150782186..150849186,-	ARNT	PRAD_ctrl	PRAD_cancer
uc010pck.1	uc001evr.1	chr1:150782186..150849186,-	ARNT	PRAD_ctrl	PRAD_cancer
uc010pcw.1	uc001exr.2	chr1:151264413..151300133,-	PI4KB	COAD_ctrl	COAD_cancer
uc010pcw.1	uc001exr.2	chr1:151264413..151300133,-	PI4KB	KIRP_ctrl	KIRP_cancer
uc010pde.1	uc009wmw.2	chr1:151483862..151511165,+	CGN	COAD_ctrl	COAD_cancer
uc010pde.1	uc009wmw.2	chr1:151483862..151511165,+	CGN	KIRC_ctrl	KIRC_cancer
uc010pde.1	uc009wmw.2	chr1:151483862..151511165,+	CGN	THCA_ctrl	THCA_cancer
uc001eyo.2	uc001eyn.1	chr1:151584662..151671559,+	SNX27	STAD_ctrl	STAD_cancer
uc001eyo.2	uc001eyn.1	chr1:151584662..151671559,+	SNX27	STAD_ctrl	STAD_cancer
uc001ezj.1	uc001ezk.1	chr1:151846060..151882113,-	THEM4	BRCA_ctrl	BRCA_cancer
uc001ezj.1	uc001ezk.1	chr1:151846060..151882113,-	THEM4	BRCA_ctrl	BRCA_cancer
uc001fbd.2	uc009woa.2	chr1:153028597..153113969,-	SPRR2A	LUSC_ctrl	LUSC_cancer
uc001fbd.2	uc009woa.2	chr1:153028597..153113969,-	SPRR2A	LUSC_ctrl	LUSC_cancer
uc001fcl.1	uc001fck.1	chr1:153600873..153604513,+	S100A1	HNSC_ctrl	HNSC_cancer
uc001fcl.1	uc001fck.1	chr1:153600873..153604513,+	S100A1	HNSC_ctrl	HNSC_cancer
uc001fcl.1	uc001fck.1	chr1:153600873..153604513,+	S100A1	KICH_ctrl	KICH_cancer
uc001fcl.1	uc001fck.1	chr1:153600873..153604513,+	S100A1	KICH_ctrl	KICH_cancer
uc001fcl.1	uc001fck.1	chr1:153600873..153604513,+	S100A1	PRAD_ctrl	PRAD_cancer
uc001fcl.1	uc001fck.1	chr1:153600873..153604513,+	S100A1	PRAD_ctrl	PRAD_cancer
uc010pea.1	uc001fcs.3	chr1:153651164..153666467,+	NPR1	KIRP_ctrl	KIRP_cancer
uc010pea.1	uc001fcs.3	chr1:153651164..153666467,+	NPR1	KIRP_ctrl	KIRP_cancer
uc010pea.1	uc001fcs.3	chr1:153651164..153666467,+	NPR1	KIRP_ctrl	KIRP_cancer
uc010pec.1	uc001fct.2	chr1:153700549..153746557,+	INTS3	KIRP_ctrl	KIRP_cancer
uc010pec.1	uc001fct.2	chr1:153700549..153746557,+	INTS3	KIRP_ctrl	KIRP_cancer
uc010pec.1	uc001fct.2	chr1:153700549..153746557,+	INTS3	KIRP_ctrl	KIRP_cancer
uc009wor.2	uc001fec.1	chr1:154127780..154164609,-	TPM3	HNSC_ctrl	HNSC_cancer
uc009wor.2	uc001fec.1	chr1:154127780..154164609,-	TPM3	HNSC_ctrl	HNSC_cancer
uc009wor.2	uc001fec.1	chr1:154127780..154164609,-	TPM3	HNSC_ctrl	HNSC_cancer
uc001fer.2	uc009wot.2	chr1:154192655..154243985,+	UBAP2L	KIRP_ctrl	KIRP_cancer
uc001fer.2	uc009wot.2	chr1:154192655..154243985,+	UBAP2L	KIRP_ctrl	KIRP_cancer
uc001ffo.2	uc001ffp.2	chr1:154679917..154842754,-	KCNN3	LUSC_ctrl	LUSC_cancer
uc010pep.1	uc001ffr.2	chr1:154916561..154928567,-	PBXIP1	COAD_ctrl	COAD_cancer
uc010pep.1	uc001ffr.2	chr1:154916561..154928567,-	PBXIP1	KIRP_ctrl	KIRP_cancer
uc010pep.1	uc001ffr.2	chr1:154916561..154928567,-	PBXIP1	STAD_ctrl	STAD_cancer
uc001ffw.2	uc001ffx.2	chr1:154934775..154946959,-	SHC1	KIRC_ctrl	KIRC_cancer
uc001fhb.1	uc001fgw.1	chr1:155023422..155035252,+	ADAM15	KIRP_ctrl	KIRP_cancer
uc001fhb.1	uc001fgw.1	chr1:155023422..155035252,+	ADAM15	KIRP_ctrl	KIRP_cancer
uc001fhb.1	uc001fgw.1	chr1:155023422..155035252,+	ADAM15	KIRP_ctrl	KIRP_cancer
uc001fhb.1	uc001fgw.1	chr1:155023422..155035252,+	ADAM15	KIRP_ctrl	KIRP_cancer
uc001fhf.2	uc001fhg.2	chr1:155036213..155060006,+	EFNA3	COAD_ctrl	COAD_cancer
uc001fhf.2	uc001fhg.2	chr1:155036213..155060006,+	EFNA3	STAD_ctrl	STAD_cancer
uc001agn.2	uc001agl.1	chr1:1550884..1565984,+	MIB2	LUSC_ctrl	LUSC_cancer
uc001agn.2	uc001agl.1	chr1:1550884..1565984,+	MIB2	LUSC_ctrl	LUSC_cancer
uc001agn.2	uc001agh.2	chr1:1550884..1565984,+	MIB2	STAD_ctrl	STAD_cancer
uc001agn.2	uc001agh.2	chr1:1550884..1565984,+	MIB2	STAD_ctrl	STAD_cancer
uc001ago.2	uc001agh.2	chr1:1550884..1565984,+	MIB2	STAD_ctrl	STAD_cancer
uc001ago.2	uc001agh.2	chr1:1550884..1565984,+	MIB2	STAD_ctrl	STAD_cancer
uc010pgg.1	uc001flj.2	chr1:155629234..155658791,-	YY1AP1	KICH_ctrl	KICH_cancer
uc001fmj.1	uc001fmi.1	chr1:155882836..155904188,-	KIAA0907	KIRC_ctrl	KIRC_cancer
uc001fnn.2	uc001fnm.2	chr1:156119810..156147534,+	SEMA4A	KICH_ctrl	KICH_cancer
uc001fnn.2	uc001fnm.2	chr1:156119810..156147534,+	SEMA4A	KICH_ctrl	KICH_cancer
uc001fnn.2	uc001fnm.2	chr1:156119810..156147534,+	SEMA4A	KIRC_ctrl	KIRC_cancer
uc001fnn.2	uc001fnm.2	chr1:156119810..156147534,+	SEMA4A	KIRC_ctrl	KIRC_cancer
uc001fnn.2	uc009wrq.2	chr1:156119810..156147534,+	SEMA4A	KIRC_ctrl	KIRC_cancer
uc001fnn.2	uc009wrq.2	chr1:156119810..156147534,+	SEMA4A	KIRC_ctrl	KIRC_cancer
uc001fnn.2	uc001fnm.2	chr1:156119810..156147534,+	SEMA4A	KIRP_ctrl	KIRP_cancer
uc001fnn.2	uc001fnm.2	chr1:156119810..156147534,+	SEMA4A	KIRP_ctrl	KIRP_cancer
uc001fnn.2	uc009wrq.2	chr1:156119810..156147534,+	SEMA4A	KIRP_ctrl	KIRP_cancer
uc001fnn.2	uc009wrq.2	chr1:156119810..156147534,+	SEMA4A	KIRP_ctrl	KIRP_cancer
uc010phe.1	uc001fnp.2	chr1:156163730..156182586,+	SLC25A44	THCA_ctrl	THCA_cancer
uc010phe.1	uc001fnp.2	chr1:156163730..156182586,+	SLC25A44	THCA_ctrl	THCA_cancer
uc010phe.1	uc001fnp.2	chr1:156163730..156182586,+	SLC25A44	THCA_ctrl	THCA_cancer
uc009wsd.2	uc001fpy.3	chr1:156711900..156736717,-	HDGF	STAD_ctrl	STAD_cancer
uc001fqk.1	uc001fqj.1	chr1:156863523..156886226,+	PEAR1	BRCA_ctrl	BRCA_cancer
uc001fqk.1	uc001fqj.1	chr1:156863523..156886226,+	PEAR1	BRCA_ctrl	BRCA_cancer
uc001fqk.1	uc001fqj.1	chr1:156863523..156886226,+	PEAR1	BRCA_ctrl	BRCA_cancer
uc001fqk.1	uc001fqj.1	chr1:156863523..156886226,+	PEAR1	BRCA_ctrl	BRCA_cancer
uc001fqk.1	uc001fqj.1	chr1:156863523..156886226,+	PEAR1	LUAD_ctrl	LUAD_cancer
uc001fqk.1	uc001fqj.1	chr1:156863523..156886226,+	PEAR1	LUAD_ctrl	LUAD_cancer
uc001fqk.1	uc001fqj.1	chr1:156863523..156886226,+	PEAR1	LUAD_ctrl	LUAD_cancer
uc001fqk.1	uc001fqj.1	chr1:156863523..156886226,+	PEAR1	LUAD_ctrl	LUAD_cancer
uc001fqk.1	uc001fqj.1	chr1:156863523..156886226,+	PEAR1	LUSC_ctrl	LUSC_cancer
uc001fqk.1	uc001fqj.1	chr1:156863523..156886226,+	PEAR1	LUSC_ctrl	LUSC_cancer
uc001fqk.1	uc001fqj.1	chr1:156863523..156886226,+	PEAR1	LUSC_ctrl	LUSC_cancer
uc001fqk.1	uc001fqj.1	chr1:156863523..156886226,+	PEAR1	LUSC_ctrl	LUSC_cancer
uc010phu.1	uc001fqo.2	chr1:156904633..157015162,-	ARHGEF11	KIRC_ctrl	KIRC_cancer
uc010phu.1	uc001fqo.2	chr1:156904633..157015162,-	ARHGEF11	KIRC_ctrl	KIRC_cancer
uc001awq.2	uc001awn.2	chr1:15817324..15851384,-	CASP9	COAD_ctrl	COAD_cancer
uc001awq.2	uc001awn.2	chr1:15817324..15851384,-	CASP9	COAD_ctrl	COAD_cancer
uc001awt.2	uc001aws.2	chr1:15853352..15918872,+	DNAJC16	COAD_ctrl	COAD_cancer
uc001awt.2	uc001aws.2	chr1:15853352..15918872,+	DNAJC16	COAD_ctrl	COAD_cancer
uc001awt.2	uc001aws.2	chr1:15853352..15918872,+	DNAJC16	COAD_ctrl	COAD_cancer
uc001awt.2	uc001aws.2	chr1:15853352..15918872,+	DNAJC16	THCA_ctrl	THCA_cancer
uc001awt.2	uc001aws.2	chr1:15853352..15918872,+	DNAJC16	THCA_ctrl	THCA_cancer
uc001awt.2	uc001aws.2	chr1:15853352..15918872,+	DNAJC16	THCA_ctrl	THCA_cancer
uc001ahe.3	uc001ahg.3	chr1:1590990..1677431,-	SLC35E2	STAD_ctrl	STAD_cancer
uc001ahe.3	uc001ahg.3	chr1:1590990..1677431,-	SLC35E2	STAD_ctrl	STAD_cancer
uc001ahe.3	uc001ahg.3	chr1:1590990..1677431,-	SLC35E2	STAD_ctrl	STAD_cancer
